Date,Open,High,Low,Close,Adj Close,Volume,d_volatility,VIX
2017-01-03,2251.570068359375,2263.8798828125,2245.1298828125,2257.830078125,2257.830078125,3770530000,0.008327522320307954,12.85
2017-01-04,2261.60009765625,2272.820068359375,2261.60009765625,2270.75,2270.75,3764890000,0.004961076325895335,11.85
2017-01-05,2268.179931640625,2271.5,2260.449951171875,2269.0,2269.0,3761820000,0.004871769066456846,11.67
2017-01-06,2271.139892578125,2282.10009765625,2264.06005859375,2276.97998046875,2276.97998046875,3339890000,0.007943165069423146,11.32
2017-01-09,2273.590087890625,2275.489990234375,2268.89990234375,2268.89990234375,2268.89990234375,3217610000,0.0028985382746540317,11.56
2017-01-10,2269.719970703125,2279.27001953125,2265.27001953125,2268.89990234375,2268.89990234375,3638790000,0.006168161791193568,11.49
2017-01-11,2268.60009765625,2275.320068359375,2260.830078125,2275.320068359375,2275.320068359375,3620410000,0.006387194574021656,11.26
2017-01-12,2271.139892578125,2271.780029296875,2254.25,2270.43994140625,2270.43994140625,3462130000,0.007718603928433257,11.54
2017-01-13,2272.739990234375,2278.679931640625,2271.510009765625,2274.639892578125,2274.639892578125,3081270000,0.003154747971966915,11.23
2017-01-17,2269.139892578125,2272.080078125,2262.81005859375,2267.889892578125,2267.889892578125,3584990000,0.00408525695642224,11.87
2017-01-18,2269.139892578125,2272.010009765625,2263.35009765625,2271.889892578125,2271.889892578125,3315250000,0.003816385291052233,12.48
2017-01-19,2271.89990234375,2274.330078125,2258.409912109375,2263.68994140625,2263.68994140625,3165970000,0.007007424050329572,12.78
2017-01-20,2269.9599609375,2276.9599609375,2265.010009765625,2271.31005859375,2271.31005859375,3524970000,0.005264388525575418,11.54
2017-01-23,2267.780029296875,2271.780029296875,2257.02001953125,2265.199951171875,2265.199951171875,3152710000,0.006508572072663211,11.77
2017-01-24,2267.8798828125,2284.6298828125,2266.679931640625,2280.070068359375,2280.070068359375,3810960000,0.007914859736581136,11.07
2017-01-25,2288.8798828125,2299.550048828125,2288.8798828125,2298.3701171875,2298.3701171875,3846020000,0.004661741359058935,10.81
2017-01-26,2298.6298828125,2300.989990234375,2294.080078125,2296.679931640625,2296.679931640625,3610360000,0.00300610035614796,10.63
2017-01-27,2299.02001953125,2299.02001953125,2291.6201171875,2294.68994140625,2294.68994140625,3135890000,0.0032187202725006176,10.58
2017-01-30,2286.010009765625,2286.010009765625,2268.0400390625,2280.89990234375,2280.89990234375,3591270000,0.007860845152190469,11.88
2017-01-31,2274.02001953125,2279.090087890625,2267.2099609375,2278.8701171875,2278.8701171875,4087450000,0.005224284241602184,11.99
2017-02-01,2285.590087890625,2289.139892578125,2272.43994140625,2279.550048828125,2279.550048828125,3916610000,0.007306625654509822,11.81
2017-02-02,2276.68994140625,2283.969970703125,2271.64990234375,2280.85009765625,2280.85009765625,3807710000,0.005411394909473367,11.93
2017-02-03,2288.5400390625,2298.31005859375,2287.8798828125,2297.419921875,2297.419921875,3597970000,0.004557567533545412,10.97
2017-02-06,2294.280029296875,2296.179931640625,2288.570068359375,2292.56005859375,2292.56005859375,3109050000,0.0033168851160606514,11.37
2017-02-07,2295.8701171875,2299.39990234375,2290.159912109375,2293.080078125,2293.080078125,3448690000,0.0040246136596325515,11.29
2017-02-08,2289.550048828125,2295.909912109375,2285.3798828125,2294.669921875,2294.669921875,3609740000,0.004599169737418342,11.45
2017-02-09,2296.699951171875,2311.080078125,2296.610107421875,2307.8701171875,2307.8701171875,3677940000,0.006300331349657494,10.88
2017-02-10,2312.27001953125,2319.22998046875,2311.10009765625,2316.10009765625,2316.10009765625,3475020000,0.003515974667244145,10.85
2017-02-13,2321.719970703125,2331.580078125,2321.419921875,2328.25,2328.25,3349730000,0.0043761333744840175,11.07
2017-02-14,2326.1201171875,2337.580078125,2322.169921875,2337.580078125,2337.580078125,3520910000,0.006624832542453715,10.74
2017-02-15,2335.580078125,2351.300048828125,2334.81005859375,2349.25,2349.25,3775590000,0.007060340336355814,11.97
2017-02-16,2349.639892578125,2351.31005859375,2338.8701171875,2347.219970703125,2347.219970703125,3672370000,0.005294403387320925,11.76
2017-02-17,2343.010009765625,2351.159912109375,2339.580078125,2351.159912109375,2351.159912109375,3513060000,0.004942289591640861,11.49
2017-02-21,2354.909912109375,2366.7099609375,2354.909912109375,2365.3798828125,2365.3798828125,3579780000,0.0050108281286884914,11.57
2017-02-22,2361.110107421875,2365.1298828125,2358.340087890625,2362.820068359375,2362.820068359375,3468670000,0.00287567907169262,11.74
2017-02-23,2367.5,2368.260009765625,2355.090087890625,2363.81005859375,2363.81005859375,4015260000,0.005562796990496304,11.71
2017-02-24,2355.72998046875,2367.340087890625,2352.8701171875,2367.340087890625,2367.340087890625,3831570000,0.006142457252356963,11.47
2017-02-27,2365.22998046875,2371.5400390625,2361.8701171875,2369.75,2369.75,3582610000,0.004088364326027856,12.09
2017-02-28,2366.080078125,2367.7900390625,2358.9599609375,2363.639892578125,2363.639892578125,4210140000,0.0037319439044503494,12.92
2017-03-01,2380.1298828125,2400.97998046875,2380.1298828125,2395.9599609375,2395.9599609375,4345180000,0.008760067173986452,12.54
2017-03-02,2394.75,2394.75,2380.169921875,2381.919921875,2381.919921875,3821320000,0.0060883508195009916,11.81
2017-03-03,2380.919921875,2383.889892578125,2375.389892578125,2383.1201171875,2383.1201171875,3555260000,0.003570048669804131,10.96
2017-03-06,2375.22998046875,2378.800048828125,2367.97998046875,2375.31005859375,2375.31005859375,3232700000,0.004555377141728258,11.24
2017-03-07,2370.739990234375,2375.1201171875,2365.510009765625,2368.389892578125,2368.389892578125,3518390000,0.00405363197206832,11.45
2017-03-08,2369.81005859375,2373.090087890625,2361.010009765625,2362.97998046875,2362.97998046875,3812100000,0.005097487910979812,11.86
2017-03-09,2363.489990234375,2369.080078125,2354.5400390625,2364.8701171875,2364.8701171875,3716340000,0.006151935960201862,12.30
2017-03-10,2372.52001953125,2376.860107421875,2363.0400390625,2372.60009765625,2372.60009765625,3432950000,0.00582505869101391,11.66
2017-03-13,2371.56005859375,2374.419921875,2368.52001953125,2373.469970703125,2373.469970703125,3133900000,0.0024877726888554662,11.35
2017-03-14,2368.550048828125,2368.550048828125,2358.179931640625,2365.449951171875,2365.449951171875,3172630000,0.004378255461661352,12.30
2017-03-15,2370.340087890625,2390.010009765625,2368.93994140625,2385.260009765625,2385.260009765625,3906840000,0.008889048650451394,11.63
2017-03-16,2387.7099609375,2388.10009765625,2377.179931640625,2381.3798828125,2381.3798828125,3365660000,0.0045734893241963755,11.21
2017-03-17,2383.7099609375,2385.7099609375,2377.639892578125,2378.25,2378.25,5178040000,0.0033855076714958588,11.28
2017-03-20,2378.239990234375,2379.550048828125,2369.659912109375,2373.469970703125,2373.469970703125,3054930000,0.004158594910253497,11.34
2017-03-21,2379.320068359375,2381.929931640625,2341.89990234375,2344.02001953125,2344.02001953125,4265590000,0.016824146456461034,12.47
2017-03-22,2343.0,2351.81005859375,2336.449951171875,2348.449951171875,2348.449951171875,3572730000,0.006555743671308152,12.81
2017-03-23,2345.969970703125,2358.919921875,2342.1298828125,2345.9599609375,2345.9599609375,3260600000,0.007156971006524757,13.12
2017-03-24,2350.419921875,2356.219970703125,2335.739990234375,2343.97998046875,2343.97998046875,2975130000,0.008713328319823169,12.96
2017-03-27,2329.110107421875,2344.89990234375,2322.25,2341.590087890625,2341.590087890625,3240230000,0.009724702267863797,12.50
2017-03-28,2339.7900390625,2363.780029296875,2337.6298828125,2358.570068359375,2358.570068359375,3367780000,0.011176279088209454,11.53
