epoch,loss,val_loss
0,0.1372060626745224,0.3657403886318207
1,0.08250448852777481,0.29985567927360535
2,0.07501434534788132,0.2279343456029892
3,0.0765514075756073,0.16540613770484924
4,0.06547776609659195,0.22450518608093262
5,0.08269133418798447,0.25864091515541077
6,0.10810994356870651,2.290818691253662
7,0.10602723062038422,0.48841309547424316
8,0.09352993965148926,0.33188486099243164
9,0.08506633341312408,0.4450109601020813
10,0.08453796058893204,0.30629441142082214
11,0.08076917380094528,0.2921467423439026
12,0.08269768953323364,0.31802305579185486
13,0.07874792814254761,0.362068772315979
14,0.07761004567146301,0.4481801390647888
15,0.07507754862308502,0.3381846249103546
16,0.07410348206758499,0.4090700149536133
17,0.07869518548250198,0.4682769477367401
18,0.08093708753585815,0.33603334426879883
19,0.07449470460414886,0.30635812878608704
20,0.07319942861795425,0.2816201150417328
21,0.06925889849662781,0.27709612250328064
22,0.06691884994506836,0.20729196071624756
23,0.06813851743936539,0.18019403517246246
